Folder Name,Place Name,Confidence Score,Biblical References URLs,Biblical References,Coordinates,US Matching Cities,US Matching States,Place Type,Confidence Numeric
Bashan,Bashan,Most Likely,https://www.biblegateway.com/passage/?search=Zech.11.2&amp;version=ESV,Zechariah 11:2,"35.934722,32.781111","Bashan (Ohio) - hamlet: 39.0434119,-81.8651351; Bashan (South Carolina) - hamlet: 32.5515733,-80.9462189",Ohio; South Carolina,hamlet,100
Beersheba 1 (Beer-sheba),Beersheba,Most Likely,https://www.biblegateway.com/passage/?search=Neh.11.27&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.11.30&amp;version=ESV,"Nehemiah 11:27, Nehemiah 11:30","34.840833,31.244722","Beersheba (South Carolina) - hamlet: 35.0379118,-81.3192452; Beersheba Springs (Tennessee) - town: 35.4667379,-85.6541419",South Carolina; Tennessee,hamlet; town,100
Berea (Beroea),Berea,Most Likely,https://www.biblegateway.com/passage/?search=Acts.17.10&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.17.11&amp;version=NLT; https://www.biblegateway.com/passage/?search=Acts.17.13&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.17.14&amp;version=NIV; https://www.biblegateway.com/passage/?search=Acts.17.15&amp;version=NLT; https://www.biblegateway.com/passage/?search=Acts.20.4&amp;version=NIV,"Acts:17:10, Acts:17:11, Acts:17:13, Acts:17:14, Acts:17:15, Acts:20:4","22.2,40.518333","Berea (Ohio) - town: 41.3661614,-81.8543026; Berea (Kentucky) - city: 37.568694,-84.2963224; Berea (South Carolina) - town: 34.881149,-82.46594143589743; Berea (West Virginia) - hamlet: 39.1364726,-80.9337187; Berea (Tennessee) - hamlet: 35.2584121,-86.968339; Berea (Tennessee) - hamlet: 35.8089565,-85.7044257; Berea (Nebraska) - hamlet: 42.2140576,-102.9801157; Berea (Iowa) - hamlet: 41.3741539,-94.680253; Berea (North Carolina) - hamlet: 36.3206989,-78.741671; Berea (North Dakota) - hamlet: 46.9341484,-98.0950962; Berea (Arkansas) - hamlet: 33.3392835,-91.7006822; Berea (Texas) - hamlet: 32.8062492,-94.4021393; Berea (Texas) - hamlet: 31.3343478,-95.3113308",Arkansas; Iowa; Kentucky; Nebraska; North Carolina; North Dakota; Ohio; South Carolina; Tennessee; Texas; West Virginia,city; hamlet; town,100
Bethany 1,Bethany,Most Likely,https://www.biblegateway.com/passage/?search=Matt.21.17&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.26.6&amp;version=ESV,"Matt:21:17, Matt:26:6","35.255903,31.771661","Bethany (Missouri) - city: 40.2683344,-94.0282861; Bethany (Illinois) - village: 39.6455916,-88.7381252; Bethany (Oklahoma) - city: 35.5186728,-97.6322648; Bethany (West Virginia) - village: 40.205627,-80.5567384; Bethany (Connecticut) - village: 41.4217637,-72.9970496; Bethany (Indiana) - hamlet: 39.5325474,-86.3758266; Bethany (Pennsylvania) - village: 41.6131434,-75.2843432; Bethany (Indiana) - hamlet: 39.8542087,-87.147234; Bethany (Florida) - hamlet: 27.4742071,-82.2642576; Bethany (Ohio) - hamlet: 39.3845025,-84.3735522; Bethany (Kentucky) - hamlet: 37.6503656,-83.4735171; Bethany (Georgia) - hamlet: 33.5273351,-84.5429848; Bethany (Missouri) - hamlet: 36.6117237,-90.0692618; Bethany (Minnesota) - hamlet: 44.0241296,-91.9115448; Bethany (North Carolina) - hamlet: 36.3073583,-79.8586471; Bethany (Virginia) - hamlet: 36.8437348,-80.8803553; Bethany (South Carolina) - hamlet: 35.1170791,-81.3061903; Bethany (Tennessee) - hamlet: 36.0870485,-82.7232019; Bethany (Georgia) - hamlet: 33.5309607,-83.4234994; Bethany (Georgia) - hamlet: 30.857411,-84.7240855; Bethany (Georgia) - hamlet: 31.3076794,-84.5996375; Bethany (Indiana) - hamlet: 39.1739398,-86.0652702; Bethany (Tennessee) - hamlet: 35.7064596,-85.854151; Bethany (Mississippi) - hamlet: 34.5053779,-88.7292226; Bethany (Oregon) - hamlet: 45.0123431,-122.817869; Bethany (Louisiana) - hamlet: 32.3732122,-94.0426863; Bethany (Texas) - hamlet: 32.3732122,-94.0432419; Bethany (Arkansas) - hamlet: 34.0776127,-94.0199144; Bethany Beach (Delaware) - town: 38.5379676,-75.0588646",Arkansas; Connecticut; Delaware; Florida; Georgia; Illinois; Indiana; Kentucky; Louisiana; Minnesota; Mississippi; Missouri; North Carolina; Ohio; Oklahoma; Oregon; Pennsylvania; South Carolina; Tennessee; Texas; Virginia; West Virginia,city; hamlet; town; village,100
Bethel 3 (Beth-el),Bethel,Most Likely,https://www.biblegateway.com/passage/?search=Zech.7.2&amp;version=ESV,Zechariah 7:2,"35.241389,31.922778","Bethel (Alaska) - town: 60.7922222,-161.755833; Bethel (Connecticut) - town: 41.3712063,-73.4140097; Bethel (Minnesota) - village: 45.404098,-93.2678063; Bethel (Delaware) - village: 38.5706707,-75.6193717; Town of Bethel (New York) - village: 41.6834224,-74.8712753; Bethel (Vermont) - village: 43.8325292,-72.6342101; Bethel (Maine) - town: 44.4059351,-70.7900666; Bethel (Missouri) - village: 39.8767065,-92.0240623; Bethel (Ohio) - village: 38.9636771,-84.0807664; Bethel (Arkansas) - hamlet: 35.2489731,-93.1090627; Bethel (Connecticut) - town: 41.372643,-73.412668; Bethel (North Carolina) - town: 35.8071029,-77.3788558; Bethel (Vermont) - village: 43.8279965,-72.63508446753985; Bethel (Maine) - town: 44.403515999999996,-70.78423411527166; Bethel (Indiana) - hamlet: 39.9867145,-84.8302381; Bethel (Oregon) - hamlet: 45.0403956,-123.1848237; Bethel (Virginia) - hamlet: 39.0309408,-78.0433308; Bethel (Indiana) - hamlet: 40.2500421,-85.5338617; Bethel (Virginia) - hamlet: 36.6753914,-81.8779006; Bethel (Virginia) - hamlet: 38.247902,-79.6497706; Bethel (Michigan) - village: 41.8328273,-85.0735791; Bethel Township (Pennsylvania) - city: 40.4743954,-76.2917678; Bethel (Delaware) - village: 38.4540039,-75.3554714; Bethel (New York) - village: 43.2568742,-76.5814832; Bethel (Tennessee) - village: 35.0017501,-87.0533429; Bethel (Tennessee) - village: 35.7436866,-89.2792365",Alaska; Arkansas; Connecticut; Delaware; Indiana; Maine; Michigan; Minnesota; Missouri; New York; North Carolina; Ohio; Oregon; Pennsylvania; Tennessee; Vermont; Virginia,city; hamlet; town; village,100
"Bethesda (Beth-zatha, Bethzatha)",Bethesda,Most Likely,https://www.biblegateway.com/passage/?search=John.5.2&amp;version=ESV,John:5:2,"35.235833,31.781389","Bethesda (Maryland) - city: 38.98127255,-77.12335871396549; Bethesda (Maryland) - city: 38.9846816,-77.0942447; East Bethesda (Maryland) - village: 38.9843774,-77.0941675; Bethesda (Ohio) - village: 40.0161818,-81.0726013; Bethesda (Wisconsin) - hamlet: 42.9877892,-88.3184277; Bethesda (West Virginia) - hamlet: 38.1895315,-82.4226512; Bethesda (Tennessee) - hamlet: 35.7611776,-86.7930549; Bethesda (North Carolina) - hamlet: 35.8795819,-80.2408832; Bethesda (Georgia) - hamlet: 31.9624378,-81.0928532; Bethesda (Georgia) - hamlet: 33.6342943,-83.0095948; Bethesda (Delaware) - hamlet: 39.1376123,-75.6927077; Bethesda (Kentucky) - hamlet: 36.7909034,-84.905781; Bethesda (South Carolina) - hamlet: 34.6412668,-80.0475656; Bethesda (Mississippi) - hamlet: 32.1370957,-90.3703704; Bethesda (Iowa) - hamlet: 40.8430472,-95.0997056; Bethesda (Tennessee) - hamlet: 35.8222888,-85.3424701; Bethesda (Arkansas) - hamlet: 35.7914651,-91.7884764",Arkansas; Delaware; Georgia; Iowa; Kentucky; Maryland; Mississippi; North Carolina; Ohio; South Carolina; Tennessee; West Virginia; Wisconsin,city; hamlet; village,100
Bethlehem 1 (Beth-lehem),Bethlehem,Most Likely,https://www.biblegateway.com/passage/?search=Ruth.1.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Ruth.1.2&amp;version=ESV; https://www.biblegateway.com/passage/?search=Ruth.1.19&amp;version=ESV; https://www.biblegateway.com/passage/?search=Ruth.1.22&amp;version=ESV; https://www.biblegateway.com/passage/?search=Ruth.2.1&amp;version=NLT; https://www.biblegateway.com/passage/?search=Ruth.2.4&amp;version=ESV; https://www.biblegateway.com/passage/?search=Ruth.4.11&amp;version=ESV,"Ruth 1:1, Ruth 1:2, Ruth 1:19, Ruth 1:22, Ruth 2:1, Ruth 2:4, Ruth 4:11","35.207639,31.704306","Bethlehem (Pennsylvania) - city: 40.6178915,-75.3786521; Bethlehem (Connecticut) - village: 41.6393626,-73.2080798; Bethlehem (New Hampshire) - village: 44.2804901,-71.6867729; Town of Bethlehem (New York) - town: 42.6,-73.833333; Bethlehem (West Virginia) - village: 40.043962,-80.6906355; Bethlehem (Georgia) - village: 33.9328842,-83.7129958; Bethlehem (Indiana) - village: 38.5392299,-85.420514; Bethlehem (Maryland) - hamlet: 38.746226,-75.9441036; Bethlehem (West Virginia) - hamlet: 39.3920312,-80.2806415; Bethlehem (Ohio) - hamlet: 40.8386679,-82.7199003; Bethlehem (Kentucky) - hamlet: 38.4006235,-85.0693975; Bethlehem (Tennessee) - hamlet: 35.1556364,-87.5875224",Connecticut; Georgia; Indiana; Kentucky; Maryland; New Hampshire; New York; Ohio; Pennsylvania; Tennessee; West Virginia,city; hamlet; town; village,100
Bethsaida 1,Bethsaida,Most Likely,https://www.biblegateway.com/passage/?search=Matt.11.21&amp;version=ESV,Matt:11:21,"35.63096,32.91038","Bethsaida (Alabama) - hamlet: 34.5537043,-87.5566936; Bethsaida (Mississippi) - hamlet: 32.676247,-89.0347794; Bethsaida (Texas) - hamlet: 33.035688,-94.1879644",Alabama; Mississippi; Texas,hamlet,100
Bezer,Bezer,Most Likely,https://www.biblegateway.com/passage/?search=Josh.20.8&amp;version=ESV; https://www.biblegateway.com/passage/?search=Josh.21.36&amp;version=ESV,"Joshua 20:8, Joshua 21:36","35.90168,31.78603","Bezer (Mississippi) - hamlet: 31.9709897,-89.4903456",Mississippi,hamlet,100
Bozrah 1,Bozrah,Most Likely,https://www.biblegateway.com/passage/?search=Mic.2.12&amp;version=LEB,Micah 2:12,"35.603919,30.745843","Bozrah (Connecticut) - town: 41.5505962,-72.168238",Connecticut,town,100
