Folder Name,Place Name,Confidence Score,Biblical References URLs,Biblical References,Coordinates,US Matching Cities,US Matching States,Place Type,Confidence Numeric
Ezel,Ezel,Most Likely,https://www.biblegateway.com/passage/?search=1Sam.20.19&amp;version=NIV; https://www.biblegateway.com/passage/?search=1Sam.20.41&amp;version=CSB,"I Samuel 20:19, I Samuel 20:41","35.23072,31.83211 35.22961,31.83206 35.22852,31.83191 35.22745,31.83167 35.22641,31.83133 35.22543,31.8309 35.2245,31.83039 35.22364,31.8298 35.22285,31.82913 35.22215,31.8284 35.22155,31.82761 35.22105,31.82677 35.22065,31.82589 35.22036,31.82498 35.22019,31.82405 35.22013,31.82311 35.22019,31.82217 35.22037,31.82124 35.22065,31.82033 35.22105,31.81945 35.22155,31.81862 35.22216,31.81783 35.22285,31.8171 35.22364,31.81643 35.2245,31.81584 35.22543,31.81532 35.22641,31.8149 35.22745,31.81456 35.22852,31.81432 35.22961,31.81417 35.23072,31.81412 35.23182,31.81417 35.23292,31.81432 35.23399,31.81456 35.23502,31.8149 35.23601,31.81532 35.23694,31.81584 35.2378,31.81643 35.23858,31.8171 35.23928,31.81783 35.23988,31.81862 35.24039,31.81945 35.24078,31.82033 35.24107,31.82124 35.24124,31.82217 35.2413,31.82311 35.24124,31.82405 35.24107,31.82498 35.24078,31.82589 35.24039,31.82677 35.23988,31.82761 35.23928,31.8284 35.23858,31.82913 35.2378,31.8298 35.23694,31.83039 35.23601,31.8309 35.23502,31.83133 35.23399,31.83167 35.23292,31.83191 35.23182,31.83206 35.23072,31.83211","Ezel (Kentucky) - hamlet: 37.8911964,-83.4443502",Kentucky,hamlet,100
Galatia,Galatia,Most Likely,https://www.biblegateway.com/passage/?search=Gal.1.2&amp;version=ESV,Gal:1:2,"32.983333,39.266667","Galatia (Illinois) - village: 37.8406038,-88.6092215; Galatia (Kansas) - hamlet: 38.6416788,-98.9587015; Galatia (New York) - hamlet: 42.4853496,-76.0313143; Galatia (North Carolina) - hamlet: 36.4715413,-77.3024699",Illinois; Kansas; New York; North Carolina,hamlet; village,100
Galilee 1,Galilee,Most Likely,https://www.biblegateway.com/passage/?search=Matt.2.22&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.3.13&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.4.12&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.4.13&amp;version=NET; https://www.biblegateway.com/passage/?search=Matt.4.15&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.4.23&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.4.25&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.11.1&amp;version=NIV; https://www.biblegateway.com/passage/?search=Matt.14.1&amp;version=NLT; https://www.biblegateway.com/passage/?search=Matt.15.21&amp;version=NLT; https://www.biblegateway.com/passage/?search=Matt.17.22&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.19.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.21.11&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.26.32&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.26.69&amp;version=NIV; https://www.biblegateway.com/passage/?search=Matt.27.55&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.28.7&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.28.10&amp;version=ESV; https://www.biblegateway.com/passage/?search=Matt.28.16&amp;version=ESV,"Matt:2:22, Matt:3:13, Matt:4:12, Matt:4:13, Matt:4:15, Matt:4:23, Matt:4:25, Matt:11:1, Matt:14:1, Matt:15:21, Matt:17:22, Matt:19:1, Matt:21:11, Matt:26:32, Matt:26:69, Matt:27:55, Matt:28:7, Matt:28:10, Matt:28:16","35.527,32.76","Galilee (New York) - hamlet: 44.6170065,-75.5080039; Galilee (Texas) - hamlet: 32.2662623,-95.4285663; Galilee (Mississippi) - hamlet: 32.0501546,-89.7342408; Galilee (Arkansas) - hamlet: 35.436195,-90.3851007; Galilee (Texas) - hamlet: 30.6968613,-95.6396677; New Galilee (Pennsylvania) - village: 40.8356188,-80.3995096",Arkansas; Mississippi; New York; Pennsylvania; Texas,hamlet; village,100
Gath 1,Gath,Most Likely,https://www.biblegateway.com/passage/?search=Ps.56.1&amp;version=ESV,Psalms 56:1,"34.84694,31.69972","Gath (Ohio) - hamlet: 39.0633992,-83.804093; Gath (Tennessee) - hamlet: 35.7800688,-85.7908166",Ohio; Tennessee,hamlet,100
Gaza,Gaza,Most Likely,https://www.biblegateway.com/passage/?search=Zeph.2.4&amp;version=ESV,Zephaniah 2:4,"34.4644,31.504","Gaza (Iowa) - hamlet: 43.0202555,-95.5800079",Iowa,hamlet,100
Gethsemane,Gethsemane,Most Likely,https://www.biblegateway.com/passage/?search=Matt.26.36&amp;version=ESV,Matt:26:36,"35.239425,31.779419","Gethsemane (Texas) - hamlet: 32.8026406,-94.1093513; Gethsemane (Arkansas) - hamlet: 34.4167628,-91.8673579; Gethsemane (North Carolina) - hamlet: 36.0795584,-77.6557373; Gethsemane (Kentucky) - hamlet: 37.646173,-85.5421846",Arkansas; Kentucky; North Carolina; Texas,hamlet,100
Gibeon,Gibeon,Most Likely,https://www.biblegateway.com/passage/?search=Neh.3.7&amp;version=ESV; https://www.biblegateway.com/passage/?search=Neh.7.25&amp;version=ESV,"Nehemiah 3:7, Nehemiah 7:25","35.183351,31.847451","Gibeon (Virginia) - hamlet: 37.972354,-76.619678",Virginia,hamlet,100
Gilead 1,Gilead,Most Likely,https://www.biblegateway.com/passage/?search=Zech.10.10&amp;version=ESV,Zechariah 10:10,"35.69211,32.187016","Gilead (Maine) - town: 44.394542,-70.973053; Gilead (Nebraska) - village: 40.1452495,-97.4145414; Gilead (Indiana) - hamlet: 40.9703209,-86.0186046; Gilead (Illinois) - hamlet: 39.1242153,-90.667345; Gilead (Michigan) - village: 41.8008832,-85.1555267; Gilead (Connecticut) - village: 41.6734323,-72.4084172; Gilead (Iowa) - hamlet: 41.1724875,-94.5858024; Gilead (North Carolina) - hamlet: 35.4526632,-76.9849473; Gilead (Louisiana) - hamlet: 30.7943491,-90.8620454; Gilead (Missouri) - hamlet: 40.0186922,-91.6810906; Mount Gilead (Ohio) - village: 40.5492265,-82.8274015",Connecticut; Illinois; Indiana; Iowa; Louisiana; Maine; Michigan; Missouri; Nebraska; North Carolina; Ohio,hamlet; town; village,100
Gilgal 1,Gilgal,Most Likely,https://www.biblegateway.com/passage/?search=Mic.6.5&amp;version=ESV,Micah 6:5,"35.459969,31.881883","Gilgal (South Carolina) - hamlet: 34.2770595,-82.3492908",South Carolina,hamlet,100
Gomer,Gomer,Most Likely,https://www.biblegateway.com/passage/?search=Ezek.38.6&amp;version=ESV,Ezekiel 38:6,"41.443745,41.477736 40.193087,41.05055 39.396161,41.262838 38.29866,41.036232 36.783151,41.487219 36.050399,41.796322 35.1128,42.205988 33.284948,42.108625 31.207261,41.242446 29.415421,41.394121 28.772172,40.88419 27.097272,40.50613 26.266071,40.175571 25.845718,39.222393 26.529583,37.743166 28.056268,36.541477 29.503444,36.008826 30.539958,36.04547 30.791287,36.78345 32.785773,35.819706 34.6964,36.674644 35.62556,36.432044 35.897228,35.949509 41.443745,41.477736","Gomer (Ohio) - hamlet: 40.8450509,-84.1871708",Ohio,hamlet,100
Goshen 3,Goshen,Most Likely,https://www.biblegateway.com/passage/?search=Josh.15.51&amp;version=ESV,Joshua 15:51,"34.9723,31.407622","Goshen (Indiana) - city: 41.5850394,-85.8344491; Village of Goshen (New York) - town: 41.4021497,-74.3242129; Town of Goshen (New York) - town: 41.4021497,-74.3242129; Goshen (Connecticut) - town: 41.8317624,-73.2251145; Goshen (New Hampshire) - village: 43.3010925,-72.1486701; Goshen (Alabama) - village: 31.7229352,-86.1182882; Goshen (California) - village: 36.3510616,-119.4201204; Goshen (Kentucky) - city: 38.4018644,-85.5810245; Goshen (Arkansas) - village: 36.1011886,-93.9913099; Goshen (Vermont) - hamlet: 43.8490918,-73.0223759; Goshen (Massachusetts) - town: 42.4417472,-72.8000366; Goshen (Virginia) - village: 37.9870728,-79.4978197; Goshen (Utah) - village: 39.9530088,-111.900771; Goshen (Ohio) - village: 39.2318998,-84.1601458; Goshen (West Virginia) - hamlet: 38.7123265,-80.3064696; Goshen (Idaho) - hamlet: 43.3096385,-112.083304; Goshen (Indiana) - hamlet: 38.6714479,-85.7096876; Goshen (Missouri) - hamlet: 40.3827855,-93.6796674; Goshen (Ohio) - village: 40.4436768,-81.4098357; Goshen Township (Pennsylvania) - city: 41.0836691,-78.4077969; Goshen (Maryland) - hamlet: 39.2034396,-77.187482; Goshen (South Carolina) - hamlet: 32.7329554,-80.1931527; Goshen (Tennessee) - hamlet: 36.4653766,-82.7396037; Goshen (Washington) - hamlet: 48.8545593,-122.340994; Goshen (Texas) - hamlet: 30.6221418,-95.7213361; Goshen (Mississippi) - hamlet: 32.7620797,-89.4959036; Goshen (Georgia) - hamlet: 33.8637345,-82.5079084; Goshen (Texas) - hamlet: 32.9609561,-97.746696",Alabama; Arkansas; California; Connecticut; Georgia; Idaho; Indiana; Kentucky; Maryland; Massachusetts; Mississippi; Missouri; New Hampshire; New York; Ohio; Pennsylvania; South Carolina; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia,city; hamlet; town; village,100
Hali,Hali,Most Likely,https://www.biblegateway.com/passage/?search=Josh.19.25&amp;version=ESV,Joshua 19:25,"35.155668,32.771772","Halifax (Massachusetts) - village: 42.0183461,-70.8313559; Hali Murk (Arizona) - hamlet: 32.0011832,-112.2943008; Haliimaile (Hawaii) - village: 20.8680178,-156.33990109199476; Haliimaile (Hawaii) - village: 20.868713,-156.3386102",Arizona; Hawaii; Massachusetts,hamlet; village,100
Hammon 1,Hammon,Most Likely,https://www.biblegateway.com/passage/?search=Josh.19.28&amp;version=ESV,Joshua 19:28,"35.152022,33.128108","Hammon (Oklahoma) - town: 35.6323509,-99.3812342",Oklahoma,town,100
Harmon,Harmon,Most Likely,https://www.biblegateway.com/passage/?search=Amos.4.3&amp;version=ESV,Amos 4:3,"35.85,33.4","Harmon (Illinois) - village: 41.719479500000006,-89.55606178319069",Illinois,village,100
Havilah 2,Havilah,Most Likely,https://www.biblegateway.com/passage/?search=Gen.25.18&amp;version=ESV,Genesis 25:18,"46.552684,29.100273 44.715219,29.196033 42.085599,31.111658 40.413254,31.948076 39.200916,32.154338 37.006171,31.50064 37.997146,30.500661 37.505505,30.000769 36.784903,29.867901 36.072812,29.183401 34.957163,29.356106 34.571034,28.096175 35.222334,28.046521 37.239083,25.190222 37.155208,24.823834 37.426918,24.369397 38.463171,23.780694 39.113265,22.526225 38.93004,22.012118 39.172439,21.779023 39.190219,21.101647 39.730523,20.391647 40.75593,19.778557 41.638534,17.997428 42.318148,17.436428 42.83138,16.190734 42.677223,15.688416 42.8103,15.280105 42.598942,15.228503 42.944571,14.923925 43.468106,12.673867 45.028142,12.750895 45.662866,13.350703 46.700724,13.429404 47.977117,14.050316 48.683285,14.04569 49.347048,14.640919 52.195361,15.609998 52.150592,15.986543 52.475232,16.431033 54.048019,16.991036 55.020497,17.000475 55.426355,17.817317 56.354085,17.920083 56.790368,18.740697 57.840664,18.999959 57.676889,19.706838 57.824284,20.201791 58.180743,20.624268 58.209048,20.397612 58.520274,20.41603 59.823822,22.292675 59.797585,22.536882 59.290457,22.764747 58.753757,23.522954 56.912798,24.144064 56.375426,24.977273 56.273845,25.706125 56.52156,26.317879 56.378704,26.388557 56.415962,26.205003 56.208245,26.253527 55.345647,25.199515 54.671877,24.814196 54.514247,24.314448 54.128036,24.328401 54.016951,24.185152 54.175433,24.188173 53.803968,24.049843 52.590281,24.214843 52.242452,23.970315 51.831482,23.986257 51.597506,24.379798 51.276815,24.294166 51.504991,24.574401 51.213623,24.620143 51.369095,24.580011 51.656581,25.029115 51.474149,25.513766 51.657861,25.926819 51.264525,26.156949 51.033925,26.043673 50.969103,25.600658 50.756803,25.504118 50.769988,24.71877 50.000305,25.989164 50.240762,26.370728 49.99452,26.744755 50.159171,26.64698 49.583662,27.092148 49.487681,27.304013 49.702123,27.300766 49.48641,27.344645 49.441679,27.081499 49.122844,27.40608 49.312348,27.424965 49.221662,27.569714 48.848542,27.603241 48.101384,29.352594 47.702785,29.359877 48.188363,29.546838 48.007887,29.986786 47.189553,30.02835 46.552684,29.100273","Havilah (California) - hamlet: 35.5177324,-118.5186972",California,hamlet,100
Hebron,Hebron,Most Likely,https://www.biblegateway.com/passage/?search=Num.13.22&amp;version=ESV,Numbers 13:22,"35.10222,31.525087","Hebron (Illinois) - village: 42.4716853,-88.432318; Hebron (New Hampshire) - village: 43.6939614,-71.8056359; Hebron (Connecticut) - town: 41.6578767,-72.3659161; Hebron (Maine) - town: 44.198194,-70.407008; Hebron (Nebraska) - city: 40.166393,-97.585875; Hebron (Texas) - town: 33.0254878,-96.8563223; Hebron (North Dakota) - village: 46.9005626,-102.0454416; Hebron (Maryland) - village: 38.4200703,-75.6877222; Hebron (Ohio) - village: 39.9617305,-82.4912676; Hebron (Indiana) - village: 41.3186482,-87.2003091; Hebron (Kentucky) - village: 39.065813,-84.7027575; Hebron (Wisconsin) - village: 42.921971400000004,-88.69226576906613; Hebron (Wisconsin) - village: 42.9252854,-88.6926032; Hebron (West Virginia) - hamlet: 39.4020332,-80.0353533; Hebron (Missouri) - hamlet: 36.8522797,-92.1532122; Hebron (West Virginia) - hamlet: 39.3600778,-81.0181654; Hebron Township (Pennsylvania) - city: 41.8420102,-78.0666727; Hebron (Louisiana) - hamlet: 32.8765327,-92.7959901; Hebron (Iowa) - hamlet: 41.2547112,-94.2852358; Hebron (New Mexico) - hamlet: 36.7386389,-104.4658212; Hebron (Colorado) - hamlet: 40.5964214,-106.4073273; Hebron (Georgia) - hamlet: 34.2848285,-83.3643251; Hebron (Virginia) - hamlet: 36.7406817,-80.907301; Hebron (Tennessee) - hamlet: 35.1650849,-88.893114; Hebron (South Carolina) - hamlet: 34.5756114,-79.5931297; Hebron (Alabama) - hamlet: 34.4853675,-86.3802634; Hebron (Mississippi) - hamlet: 31.7234978,-89.9523025; Hebron (North Carolina) - hamlet: 36.3606988,-78.7016703; Hebron (Mississippi) - hamlet: 34.1467745,-89.1397895; Hebron (Mississippi) - hamlet: 31.2335085,-90.6778794; Hebron (Missouri) - hamlet: 39.8922621,-92.0298961; Hebron (Mississippi) - hamlet: 31.7062734,-89.3708963; Hebron (Arkansas) - hamlet: 33.8145485,-92.2226455; Hebron (Louisiana) - hamlet: 32.2870991,-92.6195937; Hebron (Virginia) - hamlet: 38.1417973,-79.1553095; Hebron (Virginia) - hamlet: 37.1443166,-77.8052757; Hebron (Georgia) - hamlet: 32.9643198,-82.9973675; Hebron (Alabama) - hamlet: 31.3571182,-85.2168764; Hebron (Alabama) - hamlet: 33.1673398,-87.0672163",Alabama; Arkansas; Colorado; Connecticut; Georgia; Illinois; Indiana; Iowa; Kentucky; Louisiana; Maine; Maryland; Mississippi; Missouri; Nebraska; New Hampshire; New Mexico; North Carolina; North Dakota; Ohio; Pennsylvania; South Carolina; Tennessee; Texas; Virginia; West Virginia; Wisconsin,city; hamlet; town; village,100
Iconium,Iconium,Most Likely,https://www.biblegateway.com/passage/?search=Acts.13.51&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.14.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.14.19&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.14.21&amp;version=ESV; https://www.biblegateway.com/passage/?search=Acts.16.2&amp;version=ESV,"Acts:13:51, Acts:14:1, Acts:14:19, Acts:14:21, Acts:16:2","32.492331,37.872202","Iconium (Tennessee) - hamlet: 35.7761802,-86.0216559; Iconium (Iowa) - hamlet: 40.8913969,-92.9552004; Iconium (Missouri) - hamlet: 38.105801,-93.5438273; Iconium (Oklahoma) - hamlet: 35.8692209,-97.1878119",Iowa; Missouri; Oklahoma; Tennessee,hamlet,100
Immer,Immer,Most Likely,https://www.biblegateway.com/passage/?search=Neh.7.61&amp;version=ESV,Nehemiah 7:61,"44.422222,32.543333","Immer (North Carolina) - hamlet: 35.4823607,-79.9292102",North Carolina,hamlet,100
India,India,Most Likely,https://www.biblegateway.com/passage/?search=Esth.1.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Esth.8.9&amp;version=ESV,"Esther 1:1, Esther 8:9","67.4308,23.9944","India (Tennessee) - hamlet: 36.3325568,-88.2580969; India (Mississippi) - hamlet: 30.8171338,-89.1111595; India (Texas) - hamlet: 32.5251375,-96.6161027",Mississippi; Tennessee; Texas,hamlet,100
Italy,Italy,Most Likely,https://www.biblegateway.com/passage/?search=Heb.13.24&amp;version=ESV,Heb:13:24,"15.603471,38.23356 15.612656,38.022486 15.76486,37.896897 16.112317,37.921506 16.193108,38.126258 16.607679,38.435688 16.626063,38.813921 16.96499,38.93 17.097358,38.870382 17.245159,39.03303 17.148344,39.083734 17.188978,39.398457 16.792838,39.641921 16.562413,39.662237 16.512389,39.788507 16.664824,39.946889 16.62814,40.093455 16.962518,40.476567 17.081803,40.512386 17.522412,40.281127 17.865766,40.255103 17.972773,39.990024 18.346974,39.781803 18.527179,40.094239 18.445305,40.292343 18.020336,40.65034 15.970077,41.474078 15.916154,41.609377 16.21987,41.78828 16.091703,41.972387 15.348388,41.921834 14.73358,42.099799 14.038028,42.677779 13.639907,43.558954 12.481401,44.158995 12.351979,44.352202 12.259643,44.744216 12.297021,44.837173 12.414517,44.786068 12.582459,44.96806 12.336767,45.184725 12.343399,45.342245 13.175226,45.709535 13.406182,45.666926 13.571225,45.757933 13.704425,45.656902 13.686434,45.566871 13.45829,45.531047 13.583523,45.045233 13.907232,44.747846 14.031006,44.779095 14.101594,44.939188 14.177197,44.924535 14.209826,45.62214 14.606602,46.668979 8.621098,46.60395 7.086238,45.739431 7.199822,44.893686 7.086235,44.3085 7.558748,43.771314 8.197428,43.941879 8.494798,44.269825 8.768272,44.408925 9.259749,44.31779 9.83391,44.0213 10.000518,44.023497 10.216034,43.87919 10.265888,43.516184 10.471246,43.27366 10.487486,43.140466 10.433977,42.9515 10.082874,42.858974 10.070526,42.701348 10.436536,42.679538 10.75455,42.77298 11.138316,42.537475 11.064206,42.409186 11.589155,42.303305 11.833035,42.016338 12.625066,41.430341 12.90115,41.383792 13.057968,41.201519 13.256653,41.271818 13.559272,41.188611 13.671858,41.236394 14.015041,40.896207 14.021325,40.799572 13.842016,40.777586 13.833307,40.705725 14.271676,40.822147 14.472372,40.707888 14.15814,40.567975 14.187855,40.520347 14.772882,40.674225 14.994539,40.373288 14.890156,40.248457 15.390517,39.986943 15.623158,40.069508 15.789726,39.868 16.222614,38.858495 16.114349,38.720974 15.854024,38.667653 15.926044,38.547112 15.837249,38.361169 15.603471,38.23356","Italy (Texas) - town: 32.1840381,-96.8847194; Town of Italy (New York) - village: 42.611735,-77.2919246; Italy (South Carolina) - hamlet: 33.4485003,-79.5408964",New York; South Carolina; Texas,hamlet; town; village,100
Jabez,Jabez,Most Likely,https://www.biblegateway.com/passage/?search=1Chr.2.55&amp;version=ESV,I Chronicles 2:55,"35.20764,31.74927 35.20211,31.74903 35.19664,31.74829 35.1913,31.74707 35.18613,31.74538 35.1812,31.74324 35.17656,31.74068 35.17226,31.73772 35.16835,31.73439 35.16487,31.73073 35.16186,31.72678 35.15935,31.72259 35.15737,31.71819 35.15594,31.71364 35.15507,31.709 35.15479,31.7043 35.15508,31.69959 35.15595,31.69495 35.15738,31.6904 35.15936,31.68601 35.16188,31.68181 35.16489,31.67787 35.16837,31.67421 35.17229,31.67088 35.17658,31.66792 35.18122,31.66536 35.18615,31.66323 35.19131,31.66154 35.19666,31.66032 35.20212,31.65959 35.20764,31.65934 35.21316,31.65959 35.21862,31.66032 35.22396,31.66154 35.22913,31.66323 35.23405,31.66536 35.23869,31.66792 35.24299,31.67088 35.2469,31.67421 35.25039,31.67787 35.2534,31.68181 35.25591,31.68601 35.2579,31.6904 35.25933,31.69495 35.2602,31.69959 35.26049,31.7043 35.26021,31.709 35.25934,31.71364 35.25791,31.71819 35.25593,31.72259 35.25342,31.72678 35.25041,31.73073 35.24693,31.73439 35.24302,31.73772 35.23872,31.74068 35.23408,31.74324 35.22915,31.74538 35.22398,31.74707 35.21863,31.74829 35.21317,31.74903 35.20764,31.74927","Jabez (Kentucky) - hamlet: 36.9870159,-84.8935595",Kentucky,hamlet,100
Jericho 1,Jericho,Most Likely,https://www.biblegateway.com/passage/?search=Num.22.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.26.3&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.26.63&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.31.12&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.33.48&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.33.50&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.34.15&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.35.1&amp;version=ESV; https://www.biblegateway.com/passage/?search=Num.36.13&amp;version=ESV,"Numbers 22:1, Numbers 26:3, Numbers 26:63, Numbers 31:12, Numbers 33:48, Numbers 33:50, Numbers 34:15, Numbers 35:1, Numbers 36:13","35.444564,31.871719","Jericho (New York) - town: 40.78743,-73.5434608216838; Jericho (New York) - town: 40.7920441,-73.5398476; Jericho (Vermont) - village: 44.5043797,-72.9979302; Jericho (Arkansas) - hamlet: 35.2854656,-90.2271687; Jericho (Indiana) - hamlet: 39.0614321,-87.2975161; Jericho (Vermont) - village: 44.5043797,-72.9979302; Jericho (Ohio) - hamlet: 39.5478313,-84.6743961; Jericho (Wisconsin) - hamlet: 42.8783458,-88.4228746; Jericho (Ohio) - hamlet: 39.391447,-84.3710522; Jericho (Wisconsin) - hamlet: 43.9699909,-88.2664925; Jericho (Alabama) - hamlet: 32.7740172,-87.2752766; Jericho (Kentucky) - hamlet: 38.4050672,-85.2899566; Jericho (Kentucky) - hamlet: 38.7308995,-84.673556; Jericho (South Carolina) - hamlet: 32.7590659,-80.3164889; Jericho (North Carolina) - hamlet: 36.2870808,-79.3664102; Jericho (Texas) - hamlet: 35.173105,-100.9082015; Jericho (Mississippi) - hamlet: 34.5112112,-88.754501; Jericho (Alabama) - hamlet: 34.977585,-86.0791498; Jericho (Indiana) - hamlet: 38.1992299,-86.4244238; Jericho (Texas) - hamlet: 31.7060101,-94.2379774; Jericho (Kentucky) - hamlet: 37.518672,-85.648296; Jericho (Kentucky) - hamlet: 37.0864578,-85.0491214; Jericho (Louisiana) - hamlet: 31.2674027,-92.8665419",Alabama; Arkansas; Indiana; Kentucky; Louisiana; Mississippi; New York; North Carolina; Ohio; South Carolina; Texas; Vermont; Wisconsin,hamlet; town; village,100
Jerusalem,Jerusalem,Most Likely,https://www.biblegateway.com/passage/?search=Zeph.1.4&amp;version=ESV; https://www.biblegateway.com/passage/?search=Zeph.1.12&amp;version=ESV; https://www.biblegateway.com/passage/?search=Zeph.3.1&amp;version=NLT; https://www.biblegateway.com/passage/?search=Zeph.3.7&amp;version=NIV; https://www.biblegateway.com/passage/?search=Zeph.3.11&amp;version=NIV; https://www.biblegateway.com/passage/?search=Zeph.3.14&amp;version=ESV; https://www.biblegateway.com/passage/?search=Zeph.3.16&amp;version=ESV,"Zephaniah 1:4, Zephaniah 1:12, Zephaniah 3:1, Zephaniah 3:7, Zephaniah 3:11, Zephaniah 3:14, Zephaniah 3:16","35.234167,31.776667","Jerusalem (Ohio) - village: 39.8521672,-81.0947512; Jerusalem (Maryland) - hamlet: 39.4628854,-76.3891275; Jerusalem (Maryland) - hamlet: 39.5242666,-77.5799891; Jerusalem (North Carolina) - hamlet: 35.8151385,-80.5156147; Jerusalem (Georgia) - hamlet: 30.9782864,-81.8456661; Jerusalem (Alabama) - hamlet: 34.7050897,-87.2269623; Jerusalem (Tennessee) - hamlet: 35.2434119,-86.7844447; Jerusalem (Georgia) - hamlet: 34.4417574,-84.5821529; Jerusalem (Alabama) - hamlet: 33.6117782,-87.8583521; Jerusalem (Arkansas) - hamlet: 35.4048027,-92.8168331; Jerusalem (Utah) - hamlet: 39.5638491,-111.6576985",Alabama; Arkansas; Georgia; Maryland; North Carolina; Ohio; Tennessee; Utah,hamlet; village,100
Joppa,Joppa,Most Likely,https://www.biblegateway.com/passage/?search=Josh.19.46&amp;version=ESV,Joshua 19:46,"34.753039,32.054481","Joppa (Illinois) - village: 37.2064423,-88.8447822; Joppa (Alabama) - village: 34.299590550000005,-86.5512683922025; Joppa (Alabama) - village: 34.2978726,-86.5561022; Joppatowne (Maryland) - town: 39.433719,-76.3577373; Joppa (Kentucky) - hamlet: 37.0517308,-85.2421822; Joppa (Indiana) - hamlet: 39.6322686,-86.4322174; Joppa (West Virginia) - hamlet: 38.7787112,-80.4881433; Joppa (Texas) - hamlet: 30.8254599,-98.0316883; Joppa (Michigan) - hamlet: 42.1880999,-85.2174873; Joppa (Ohio) - hamlet: 41.3644923,-82.4304446; Joppa (Tennessee) - hamlet: 35.8231225,-85.6360908; Joppa (Ohio) - hamlet: 39.1528549,-81.7984666; Joppa (North Carolina) - hamlet: 36.355155,-76.5599468",Alabama; Illinois; Indiana; Kentucky; Maryland; Michigan; North Carolina; Ohio; Tennessee; Texas; West Virginia,hamlet; town; village,100
